State_UT,Year,Month,Temperature_Mean_C,Temperature_Max_C,Temperature_Min_C,Relative_Humidity_Mean,Dew_Point_Mean_C,Precipitation_Sum_mm,Pressure_msl_Mean_hPa,Wind_Speed_kmh,Wind_Direction_Dominant_deg,Wet_Bulb_Temp_C,Heat_Index_C,WBGT_C,Year_numeric,Month_sin,Month_cos,State_Andaman and Nicobar Islands,State_Andhra Pradesh,State_Arunachal Pradesh,State_Assam,State_Bihar,State_Chandigarh,State_Chhattisgarh,State_Dadra and Nagar Haveli and Daman and Diu,State_Delhi,State_Goa,State_Gujarat,State_Haryana,State_Himachal Pradesh,State_Jammu and Kashmir,State_Jharkhand,State_Karnataka,State_Kerala,State_Ladakh,State_Lakshadweep,State_Madhya Pradesh,State_Maharashtra,State_Manipur,State_Meghalaya,State_Mizoram,State_Nagaland,State_Odisha,State_Puducherry,State_Punjab,State_Rajasthan,State_Sikkim,State_Tamil Nadu,State_Telangana,State_Tripura,State_Uttar Pradesh,State_Uttarakhand,State_West Bengal,Alert_Status,Heatwave_Days
Andaman and Nicobar Islands,2013,10,26.238709677419354,27.6,24.5,83.51612903225806,23.187096774193545,312.0,1010.167741935484,64.90451612903226,205.0967741935484,24.008882297164185,26.882357678575257,28.2528391298823,2013,-0.8660254037844386,0.5000000000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Alert,0
Andaman and Nicobar Islands,2013,11,26.55333333333333,28.3,24.6,81.8,23.12333333333333,236.6,1009.5333333333332,73.296,96.3,24.06142151567354,27.65548382437164,28.4518786556597,2013,-0.5000000000000004,0.8660254037844384,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Alert,0
Andaman and Nicobar Islands,2013,12,26.09032258064516,27.5,24.7,69.54838709677419,19.98709677419355,41.4,1011.1483870967742,75.17032258064516,69.93548387096774,21.875019436219368,26.48800238340466,27.330095541660015,2013,-2.4492935982947064e-16,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Alert,0
Andaman and Nicobar Islands,2014,1,25.677419354838708,26.9,23.4,68.74193548387096,19.44516129032258,0.4,1013.2225806451612,75.24,60.29032258064516,21.382747165916324,25.677419354838708,26.902516410398665,2014,0.49999999999999994,0.8660254037844387,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Alert,0
Andaman and Nicobar Islands,2014,2,25.464285714285715,27.0,23.4,73.67857142857143,20.34642857142857,4.6,1011.4107142857144,55.81285714285714,70.14285714285714,21.892592959829045,25.464285714285715,26.982039033212818,2014,0.8660254037844386,0.5000000000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Alert,0
Andaman and Nicobar Islands,2014,3,26.874193548387098,28.6,25.2,74.6774193548387,21.961290322580645,0.6,1011.574193548387,49.05290322580645,76.09677419354838,23.362662591750425,28.34540083478992,28.3591941404934,2014,1.0,6.123233995736766e-17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Alert,0
Andaman and Nicobar Islands,2014,4,27.82333333333333,29.4,25.4,75.0,22.966666666666665,11.999999999999998,1010.09,28.452,278.96666666666664,24.30529220441988,30.988422041068706,29.26780983633701,2014,0.8660254037844387,-0.4999999999999998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Alert,0
Andaman and Nicobar Islands,2014,5,27.31935483870968,29.3,25.3,82.83870967741936,24.13225806451613,298.3,1008.5645161290324,63.48774193548388,203.25806451612905,24.95751726750726,30.40635440658807,29.238378479678744,2014,0.49999999999999994,-0.8660254037844387,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Alert,0
Andaman and Nicobar Islands,2014,6,27.203333333333333,28.4,25.8,85.6,24.55,313.4,1005.8466666666668,109.452,223.06666666666663,25.241728138994336,30.70831075958449,29.284289158624777,2014,1.2246467991473532e-16,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Alert,0
Andaman and Nicobar Islands,2014,7,26.73548387096774,27.8,25.4,86.29032258064517,24.22903225806452,333.3,1007.0193548387095,115.76903225806451,226.5483870967742,24.8840102072486,28.691914334735014,28.87843536628741,2014,-0.4999999999999997,-0.8660254037844388,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Alert,0
